年別,亞洲地區,非洲地區,美洲地區,大洋洲地區,歐洲地區,其他未列明,小計
Year,Asia,Africa,Americas,Oceania,Europe,Unknow,Total
1956,0,0,0,0,0,0,0
1957,0,0,0,0,0,0,0
1958,0,0,0,0,0,0,0
1959,0,0,0,0,0,0,0
1960,0,0,0,0,0,0,0
1961,0,0,0,0,0,0,0
1962,0,0,0,0,0,0,0
1963,0,0,0,0,0,0,0
1964,0,0,0,0,0,0,0
1965,54791,0,47843,3935,7251,4640,118460
1966,76343,0,62963,5307,9070,6596,160279
1967,108382,548,73238,4342,9370,2338,198218
1968,142460,721,79771,8917,12227,6503,250599
1969,185726,613,102825,9983,13599,8442,321188
1970,230865,1249,132535,14353,17818,12936,409756
1971,309590,1786,116486,10620,22148,5940,466570
1972,402245,1453,131065,10418,20325,14527,580033
1973,622233,1723,145194,12887,27108,15248,824393
1974,630168,1753,128362,11550,34589,13399,819821
1975,650607,2754,137013,14428,43186,5152,853140
1976,780958,2998,153878,18142,50482,1668,1008126
1977,879949,4243,152422,18624,41702,13242,1110182
1978,1016772,5259,172581,19214,50253,6898,1270977
1979,1125293,5730,140175,14286,51712,3186,1340382
1980,1153807,9397,155284,14801,58550,1415,1393254
1981,1145920,18634,159898,16938,63194,4881,1409465
1982,1156417,18288,154608,19385,62633,7847,1419178
1983,1170351,18288,176722,19577,65809,6657,1457404
1984,1198436,17451,198494,20518,70970,10269,1516138
1985,1130677,12779,206908,20233,70689,10373,1451659
1986,1226362,14996,222470,21085,85276,40196,1610385
1987,1334004,15963,248997,22347,101698,37939,1760948
1988,1504560,17224,247860,22864,109328,33298,1935134
1989,1565853,14387,251904,24276,111273,36433,2004126
1990,1499922,12913,256074,22689,111472,31014,1934084
1991,1415038,13020,273349,22848,114399,15852,1854506
1992,1409665,11489,294641,25300,120609,11623,1873327
1993,1373022,11411,304591,26305,121965,12920,1850214
1994,1612105,11067,325363,28519,135066,15129,2127249
1995,1796952,10384,331171,31875,144717,16835,2331934
1996,1811832,9829,333858,32631,152494,17577,2358221
1997,1800475,9137,350049,34825,159071,18675,2372232
1998,1720921,8039,355336,34597,160277,19536,2298706
1999,1813079,7955,364742,35875,161808,27789,2411248
2000,1984515,8787,409581,38229,161012,21913,2624037
2001,2224356,8872,402327,38362,148569,8549,2831035
2002,2331217,9255,437078,41223,148797,10122,2977692
2003,1767640,7523,314721,32330,118843,7060,2248117
2004,2275924,9755,444528,50958,164945,4232,2950342
2005,2678997,9201,457156,55732,172494,4538,3378118
2006,2821920,8911,461033,52019,172777,3167,3519827
2007,2982669,8607,468996,61802,186483,7506,3716063
2008,3085783,8499,461269,68555,200914,20167,3845187
2009,3655084,7735,442036,66173,197070,26906,4395004
2010,4783060,8254,474709,71953,203301,26000,5567277
2011,5264210,8938,495136,70540,212148,36512,6087484
2012,6473684,8865,497597,75414,218045,37865,7311470
2013,7138786,8795,502446,77722,223062,65469,8016280
2014,8970186,9960,565375,93119,264880,6684,9910204
2015,9469559,10160,588192,90813,274035,7026,10439785
2016,9624793,10668,649337,98226,299756,7499,10690279
2017,9585635,11682,702049,108344,330090,1801,10739601
2018,9845761,12037,732478,121697,350094,4640,11066707
2019,10561699,12537,766254,134860,386752,2003,11864105
2020,1183987,2502,106117,22606,59512,3137,1377861
2021,105996,901,14642,1358,16413,1169,140479
2022,696792,3410,108842,14920,65990,6008,895962
2023,5432055,9354,639976,104205,298986,2375,6486951
2024,6577539,11540,784855,131720,349981,2051,7857686
總計(Total),157577627,510229,18915400,2397374,7817087,821372,188039089
,,,,,,,
,,,,,,,
https://stat.taiwan.net.tw/inboundSearch,,,,,,,
